PARCEL_ID,address
00107003,01309 W 95 ST Cleveland OH
00107004,01315 W 95 ST Cleveland OH
00107005,01319 W 95 ST Cleveland OH
00107006,01323 W 95 ST Cleveland OH
00107007,01327 W 95 ST Cleveland OH
00107008,01331 W 95 ST Cleveland OH
00107009,01335 W 95 ST Cleveland OH
00107010,01339 W 95 ST Cleveland OH
00107011,01343 W 95 ST Cleveland OH
00107012,01347 W 95 ST Cleveland OH
00107013,01351 W 95 ST Cleveland OH
00107014,01355 W 95 ST Cleveland OH
00107015,01359 W 95 ST Cleveland OH
00107017,01363 W 95 ST Cleveland OH
00107018,01371 W 95 ST Cleveland OH
00107019,01375 W 95 ST Cleveland OH
00107020,01379 W 95 ST Cleveland OH
00107021,09406  DETROIT AVE Cleveland OH
00107023,09300  DETROIT AVE Cleveland OH
00107024,09208  DETROIT AVE Cleveland OH
00107025,09200  DETROIT AVE Cleveland OH
00107026,09112  DETROIT AVE Cleveland OH
00107027,01376 W 91 ST Cleveland OH
00107028,01370 W 91 ST Cleveland OH
00107029,01362 W 91 ST Cleveland OH
00107030,01360 W 91 ST Cleveland OH
00107031,01356 W 91 ST Cleveland OH
00107032,01350 W 91 ST Cleveland OH
00107033,01348 W 91 ST Cleveland OH
00107034,01344 W 91 ST Cleveland OH
00107035,01342 W 91 ST Cleveland OH
00107036,01338 W 91 ST Cleveland OH
00107037, W 91 ST Cleveland OH
00107038,01330 W 91 ST Cleveland OH
00107039,01326 W 91 ST Cleveland OH
00107040,01322 W 91 ST Cleveland OH
00107041,01316 W 91 ST Cleveland OH
00107042,01312 W 91 ST Cleveland OH
00107043,01308 W 91 ST Cleveland OH
00107045,01298 W 91 ST Cleveland OH
00107046,01296 W 91 ST Cleveland OH
00107047,01292 W 91 ST Cleveland OH
00107048,01290 W 91 ST Cleveland OH
00107049,01286 W 91 ST Cleveland OH
00107050,01282 W 91 ST Cleveland OH
00107051,01278 W 91 ST Cleveland OH
00107052,01274 W 91 ST Cleveland OH
00107053,09207  DESMOND AVE Cleveland OH
00107055,01289 W 93 ST Cleveland OH
00107056,01293 W 93 ST Cleveland OH
00107057,01297 W 93 ST Cleveland OH
00107058,01301 W 93 ST Cleveland OH
00107059,01303 W 93 ST Cleveland OH
00107060,01307 W 93 ST Cleveland OH
00107061,01309 W 93 ST Cleveland OH
00107062,01323 W 93 ST Cleveland OH
00107063,01325 W 93 ST Cleveland OH
00107064,01329 W 93 ST Cleveland OH
00107065,01335 W 93 ST Cleveland OH
00107066,01339 W 93 ST Cleveland OH
00107067,01341/43 W 93 ST Cleveland OH
00107068,01345 W 93 ST Cleveland OH
00107069,01349 W 93 ST Cleveland OH
00107070,01353 W 93 ST Cleveland OH
00107071,01359 W 93 ST Cleveland OH
00107072,01361 W 93 ST Cleveland OH
00107073,01367 W 93 ST Cleveland OH
00107074,01371 W 93 ST Cleveland OH
00107076,01372 W 93 ST Cleveland OH
00107077,01370 W 93 ST Cleveland OH
00107078,01362 W 93 ST Cleveland OH
00107079,01358 W 93 ST Cleveland OH
00107080,01354 W 93 ST Cleveland OH
00107081,01352 W 93 ST Cleveland OH
00107082,01348 W 93 ST Cleveland OH
00107083,01344 W 93 ST Cleveland OH
00107084,01340 W 93 ST Cleveland OH
00107085,01336 W 93 ST Cleveland OH
00107086,01332 W 93 ST Cleveland OH
00107087,01328 W 93 ST Cleveland OH
00107088,01324 W 93 ST Cleveland OH
00107089, W 93 ST Cleveland OH
00107090,01316 W 93 ST Cleveland OH
00107091,01312 W 93 ST Cleveland OH
00107092,01308 W 93 ST Cleveland OH
00107093,01304 W 93 ST Cleveland OH
00107094,01302 W 93 ST Cleveland OH
00107095,01300 W 93 ST Cleveland OH
00107096,01294 W 93 ST Cleveland OH
00107097,01288 W 93 ST Cleveland OH
00107098,01311 W 95 ST Cleveland OH
00107100,09106  DETROIT AVE Cleveland OH
00107101,01385 W 95 ST Cleveland OH
00107102,01382 W 91 ST Cleveland OH
00107103,01388 W 91 ST Cleveland OH
00107104,09400  DETROIT AVE Cleveland OH
00108001,08902  DETROIT AVE Cleveland OH
00108005,08808  DETROIT AVE Cleveland OH
00108007,08706  DETROIT AVE Cleveland OH
00108008,08702  DETROIT AVE Cleveland OH
00108009,08600  DETROIT AVE Cleveland OH
00108010,08504  DETROIT AVE Cleveland OH
00108012,08410  DETROIT AVE Cleveland OH
00108015,00000 W 85 ST Cleveland OH
00108016,08322  DETROIT AVE Cleveland OH
00108017,08316  DETROIT AVE Cleveland OH
00108019,01388 W 83 ST Cleveland OH
00108020,01384 W 83 ST Cleveland OH
00108021,01372 W 83 ST Cleveland OH
00108022,01378 W 83 ST Cleveland OH
00108024,1370 W 83 ST Cleveland OH
00108025,01368 W 83 ST Cleveland OH
00108026,01362 W 83 ST Cleveland OH
00108027,01352 W 83 ST Cleveland OH
00108028,01348 W 83 ST Cleveland OH
00108029,01346 W 83 ST Cleveland OH
00108030,01340 W 83 ST Cleveland OH
00108031,01336 W 83 ST Cleveland OH
00108032,01332 W 83 ST Cleveland OH
00108033,01311 W 85 ST Cleveland OH
00108034,01317 W 85 ST Cleveland OH
00108035,01321 W 85 ST Cleveland OH
00108036,01325 W 85 ST Cleveland OH
00108037, W 85 ST Cleveland OH
00108046,01369 W 85 ST Cleveland OH
00108047,01371 W 85 ST Cleveland OH
00108048,01386 W 85 ST Cleveland OH
00108049,01380 W 85 ST Cleveland OH
00108050,01378 W 85 ST Cleveland OH
00108051,01372 W 85 ST Cleveland OH
00108052,01360 W 85 ST Cleveland OH
00108053,01356 W 85 ST Cleveland OH
00108054,01352 W 85 ST Cleveland OH
00108055,01348 W 85 ST Cleveland OH
00108056,01342 W 85 ST Cleveland OH
00108057,01338 W 85 ST Cleveland OH
00108058,01334 W 85 ST Cleveland OH
00108059,01330 W 85 ST Cleveland OH
00108060,01326 W 85 ST Cleveland OH
00108061,01322 W 85 ST Cleveland OH
00108062,01320 W 85 ST Cleveland OH
00108063,01316 W 85 ST Cleveland OH
00108064,01311 W 87 ST Cleveland OH
00108065,01317 W 87 ST Cleveland OH
00108066,01321 W 87 ST Cleveland OH
00108067,01325 W 87 ST Cleveland OH
00108068,01329 W 87 ST Cleveland OH
00108069,01333 W 87 ST Cleveland OH
00108070,01337 W 87 ST Cleveland OH
00108071,01341 W 87 ST Cleveland OH
00108072,01345 W 87 ST Cleveland OH
00108073,01349 W 87 ST Cleveland OH
00108074,01355 W 87 ST Cleveland OH
00108075,01359 W 87 ST Cleveland OH
00108076,01363 W 87 ST Cleveland OH
00108077, W 87 ST Cleveland OH
00108078,01374 W 87 ST Cleveland OH
00108079,01370 W 87 ST Cleveland OH
00108080,01366 W 87 ST Cleveland OH
00108082,01358 W 87 ST Cleveland OH
00108083,01352 W 87 ST Cleveland OH
00108084,01348 W 87 ST Cleveland OH
00108085,01344 W 87 ST Cleveland OH
00108086,01340 W 87 ST Cleveland OH
00108087,01336 W 87 ST Cleveland OH
00108088,01332 W 87 ST Cleveland OH
00108089,01328 W 87 ST Cleveland OH
00108090,01324 W 87 ST Cleveland OH
00108091,01320 W 87 ST Cleveland OH
00108092,01316 W 87 ST Cleveland OH
00108093,01314 W 87 ST Cleveland OH
00108094,01312 W 87 ST Cleveland OH
00108095,01307 W 89 ST Cleveland OH
00108096,01311 W 89 ST Cleveland OH
00108097,01315 W 89 ST Cleveland OH
00108098,01319 W 89 ST Cleveland OH
00108099,01323 W 89 ST Cleveland OH
00108100,01327 W 89 ST Cleveland OH
00108101,01333 W 89 ST Cleveland OH
00108102,01335 W 89 ST Cleveland OH
00108103,01339 W 89 ST Cleveland OH
00108104,01343 W 89 ST Cleveland OH
00108105,01347 W 89 ST Cleveland OH
00108106,01351 W 89 ST Cleveland OH
00108107,01355 W 89 ST Cleveland OH
00108108,01359 W 89 ST Cleveland OH
00108109,01363 W 89 ST Cleveland OH
00108110,01367 W 89 ST Cleveland OH
00108111,01371 W 89 ST Cleveland OH
00108112,01375 W 89 ST Cleveland OH
00108113,01374 W 89 ST Cleveland OH
00108114,01370 W 89 ST Cleveland OH
00108115,01366 W 89 ST Cleveland OH
00108116,01362 W 89 ST Cleveland OH
00108117,01358 W 89 ST Cleveland OH
00108118,01354 W 89 ST Cleveland OH
00108119,01350 W 89 ST Cleveland OH
00108120,01346 W 89 ST Cleveland OH
00108121,01342 W 89 ST Cleveland OH
00108122,01338 W 89 ST Cleveland OH
00108123,01334 W 89 ST Cleveland OH
00108124,01330 W 89 ST Cleveland OH
00108126,NA NA NA NA NA OH
00108128,01314 W 89 ST Cleveland OH
00108129,1310-12      W 89 ST Cleveland OH
00108130,01306 W 89 ST Cleveland OH
00108131,01305 W 91 ST Cleveland OH
00108132,01309 W 91 ST Cleveland OH
00108133,01315 W 91 ST Cleveland OH
00108134,01317 W 91 ST Cleveland OH
00108135,01321 W 91 ST Cleveland OH
00108136,01325 W 91 ST Cleveland OH
00108137,01327 W 91 ST Cleveland OH
00108138,01331 W 91 ST Cleveland OH
00108139,01341 W 91 ST Cleveland OH
00108140,01345 W 91 ST Cleveland OH
00108141,01349 W 91 ST Cleveland OH
00108142,01353 W 91 ST Cleveland OH
00108143,01357 W 91 ST Cleveland OH
00108144,01361 W 91 ST Cleveland OH
00108145,01365 W 91 ST Cleveland OH
00108146,01369 W 91 ST Cleveland OH
00108147,01373 W 91 ST Cleveland OH
00108148,01381 W 91 ST Cleveland OH
00108150,01390 W 85 ST Cleveland OH
00108151, W 83 ST Cleveland OH
00108152,01364 W 83 ST Cleveland OH
00108153,01335 W 91 ST Cleveland OH
00108154,01377 W 87 ST Cleveland OH
00108155,1318 W 89 ST Cleveland OH
00108156,1326 W 89 ST Cleveland OH
00109001,01301 W 91 ST Cleveland OH
00109002,01297 W 91 ST Cleveland OH
00109003,01293 W 91 ST Cleveland OH
00109004,01289 W 91 ST Cleveland OH
00109005,01287 W 91 ST Cleveland OH
00109006,01285 W 91 ST Cleveland OH
00109007,01279 W 91 ST Cleveland OH
00109008,09001  DESMOND AVE Cleveland OH
00109009,01264 W 89 ST Cleveland OH
00109010,01266 W 89 ST Cleveland OH
00109011,01270 W 89 ST Cleveland OH
00109012,01276 W 89 ST Cleveland OH
00109013,01278 W 89 ST Cleveland OH
00109014,01282 W 89 ST Cleveland OH
00109015,01286 W 89 ST Cleveland OH
00109016,01290 W 89 ST Cleveland OH
00109017,01294 W 89 ST Cleveland OH
00109018,01298 W 89 ST Cleveland OH
00109019,01302 W 89 ST Cleveland OH
00109020,01303 W 89 ST Cleveland OH
00109021,01299 W 89 ST Cleveland OH
00109022,01293 W 89 ST Cleveland OH
00109023,01289 W 89 ST Cleveland OH
00109024,01285 W 89 ST Cleveland OH
00109025,01283 W 89 ST Cleveland OH
00109026,01277 W 89 ST Cleveland OH
00109027,01275 W 89 ST Cleveland OH
00109028,01271 W 89 ST Cleveland OH
00109029,01265 W 89 ST Cleveland OH
00109030,01261 W 89 ST Cleveland OH
00109031,01257 W 89 ST Cleveland OH
00109032,01268 W 87 ST Cleveland OH
00109033,01272 W 87 ST Cleveland OH
00109034,01276 W 87 ST Cleveland OH
00109035,01280 W 87 ST Cleveland OH
00109037,01288 W 87 ST Cleveland OH
00109038,01292 W 87 ST Cleveland OH
00109040,00000 W 87 ST Cleveland OH
00109041,01304 W 87 ST Cleveland OH
00109042,01308 W 87 ST Cleveland OH
00109043,01309 W 87 ST Cleveland OH
00109044,01303 W 87 ST Cleveland OH
00109045,01301 W 87 ST Cleveland OH
00109046,01297 W 87 ST Cleveland OH
00109047,01293 W 87 ST Cleveland OH
00109048,01289 W 87 ST Cleveland OH
00109049,01285 W 87 ST Cleveland OH
00109050,01281 W 87 ST Cleveland OH
00109051,01277 W 87 ST Cleveland OH
00109052,01286 W 85 ST Cleveland OH
00109053,01290 W 85 ST Cleveland OH
00109054,01294 W 85 ST Cleveland OH
00109055,01298 W 85 ST Cleveland OH
00109056,01302 W 85 ST Cleveland OH
00109057,01308 W 85 ST Cleveland OH
00109058,01312 W 85 ST Cleveland OH
00109059,01309 W 85 ST Cleveland OH
00109060,01305 W 85 ST Cleveland OH
00109061,01301 W 85 ST Cleveland OH
00109062,1297-1299 W 85 ST Cleveland OH
00109063,01293 W 85 ST Cleveland OH
00109064,01328 W 83 ST Cleveland OH
00109065,01324 W 83 ST Cleveland OH
00109066,01316 W 83 ST Cleveland OH
00109067,01319  ELM CT Cleveland OH
00109068,01315  ELM CT Cleveland OH
00109069,08301  LAKE AVE Cleveland OH
00109070,08307  LAKE AVE Cleveland OH
00109071,08309  LAKE AVE Cleveland OH
00109072,08313  LAKE AVE Cleveland OH
00109074,08321  LAKE AVE Cleveland OH
00109075,08413  LAKE AVE Cleveland OH
00109076,01282 W 85 ST Cleveland OH
00109077,08603  LAKE AVE Cleveland OH
00109078,08611  LAKE AVE Cleveland OH
00109079,08701  LAKE AVE Cleveland OH
00109080,08614  LAKE AVE Cleveland OH
00109081,08608  LAKE AVE Cleveland OH
00109082,08602  LAKE AVE Cleveland OH
00109084,08506  LAKE AVE Cleveland OH
00109089,08513  LAKE AVE Cleveland OH
00109090,01276 W 85 ST Cleveland OH
00109091,08505  LAKE AVE Cleveland OH
00109092,01284 W 85 ST Cleveland OH
00109093,01278 W 85 ST Cleveland OH
00109094,08507  LAKE AVE Cleveland OH
00109095,01280 W 85 ST Cleveland OH
00109096,01275 W 91 ST Cleveland OH
00109097,08707  LAKE AVE Cleveland OH
00110001,09837  LAKE AVE Cleveland OH
00110002,09833  LAKE AVE Cleveland OH
00110003,09829  LAKE AVE Cleveland OH
00110004,09823  LAKE AVE Cleveland OH
00110005,  LAKE AVE Cleveland OH
00110006,09801  LAKE AVE Cleveland OH
00110007,09725  LAKE AVE Cleveland OH
00110008,09717  LAKE AVE Cleveland OH
00110009,09715  LAKE AVE Cleveland OH
00110012,09506  CLIFTON BLVD Cleveland OH
00110013,09510  CLIFTON BLVD Cleveland OH
00110014,09516  CLIFTON BLVD Cleveland OH
00110015,09602  CLIFTON BLVD Cleveland OH
00110016,09608  CLIFTON BLVD Cleveland OH
00110017,09610  CLIFTON BLVD Cleveland OH
00110018,09614  CLIFTON BLVD Cleveland OH
00110019,09616  CLIFTON BLVD Cleveland OH
00110020,09708  CLIFTON BLVD Cleveland OH
00110021,09712  CLIFTON BLVD Cleveland OH
00110022,09718  CLIFTON BLVD Cleveland OH
00110023,09802  CLIFTON BLVD Cleveland OH
00110024,  CLIFTON BLVD Cleveland OH
00110025,09812  CLIFTON BLVD Cleveland OH
00110026,09811  CLIFTON BLVD Cleveland OH
00110027,09807  CLIFTON BLVD Cleveland OH
00110028,09801  CLIFTON BLVD Cleveland OH
00110029,09715  CLIFTON BLVD Cleveland OH
00110030,09711  CLIFTON BLVD Cleveland OH
00110031,09707  CLIFTON BLVD Cleveland OH
00110032,09623  CLIFTON BLVD Cleveland OH
00110033,09617  CLIFTON BLVD Cleveland OH
00110034,09615  CLIFTON BLVD Cleveland OH
00110035,09611  CLIFTON BLVD Cleveland OH
00110036,09605  CLIFTON BLVD Cleveland OH
00110037,09601  CLIFTON BLVD Cleveland OH
00110038,09516  BALTIC RD Cleveland OH
00110039,09608  BALTIC RD Cleveland OH
00110040,09612  BALTIC RD Cleveland OH
00110041,09700  BALTIC RD Cleveland OH
00110042,09702  BALTIC RD Cleveland OH
00110043,09704  BALTIC RD Cleveland OH
00110044,09710  BALTIC RD Cleveland OH
00110045,09712  BALTIC RD Cleveland OH
00110046,09716  BALTIC RD Cleveland OH
00110047,09800  BALTIC RD Cleveland OH
00110048,09809  BALTIC RD Cleveland OH
00110049,09807  BALTIC RD Cleveland OH
00110050,09801  BALTIC RD Cleveland OH
00110051,09713  BALTIC RD Cleveland OH
00110052,09711  BALTIC RD Cleveland OH
00110053,09707  BALTIC RD Cleveland OH
00110054,09703  BALTIC RD Cleveland OH
00110055,09617  BALTIC RD Cleveland OH
00110056,09615  BALTIC RD Cleveland OH
00110057,09611  BALTIC RD Cleveland OH
00110058,09605  BALTIC RD Cleveland OH
00110059,09601  BALTIC RD Cleveland OH
00110060,01323  WEST BLVD Cleveland OH
00110061,01319  WEST BLVD Cleveland OH
00110062,01315  WEST BLVD Cleveland OH
00110063,01309  WEST BLVD Cleveland OH
00110064,01305  WEST BLVD Cleveland OH
00110065,01287  WEST BLVD Cleveland OH
00110066,01283  WEST BLVD Cleveland OH
00110067,01279  WEST BLVD Cleveland OH
00110068,01275  WEST BLVD Cleveland OH
00110069,01267  WEST BLVD Cleveland OH
00110070,01265  WEST BLVD Cleveland OH
00110072,09845  LAKE AVE Cleveland OH
00110073,01301  WEST BLVD Cleveland OH
00110074,09803-05  LAKE AVE Cleveland OH
00110075,01273  WEST BLVD Cleveland OH
00110076,09545  LAKE AVE Cleveland OH
00110077,09451  LAKE  AVE Cleveland OH
00110078,09535  LAKE  AVE Cleveland OH
00110079,09531  LAKE  AVE Cleveland OH
