address,Total,lon,lat
"2786 E 92 ST , Cleveland OH",1,-81.6240544,41.4831085
"2818 E 90 ST , Cleveland OH",1,-81.627244,41.4837948
"2820  Erin AVE , Cleveland OH",1,-81.7010449,41.472297
"2824  Maplecrest AVE , Parma OH",1,-81.7031526,41.3990445
"2904  Erin AVE , Cleveland OH",1,-81.7012574,41.472314
"2911  Grantwood DR , Parma OH",1,-81.7040079,41.3961133
"2921  Bridge AVE , Cleveland OH",1,-81.7081133,41.4841543
"29295  Hampshire PL , Westlake OH",2,-81.9448074,41.4412319
"2945  Minnie AVE , Cleveland OH",1,-81.6348426,41.4788646
"2945 E 82 ST , Cleveland OH",1,-81.6295363,41.4785339
"2947  Minnie AVE , Cleveland OH",1,-81.6347191,41.4787221
"2949 E 82 ST , Cleveland OH",1,-81.6299381,41.4784501
"2957 E 82 ST , Cleveland OH",1,-81.629409,41.4776079
"2961 E 73 ST , Cleveland OH",1,-81.6371933,41.4781082
"2972 E 83 ST , Cleveland OH",1,-81.6291555,41.4778942
"301 E 206 ST , Euclid OH",1,-81.5364818,41.6013269
"3010 E 81 ST , Cleveland OH",2,-81.6312239,41.4768335
"3018 E 81 ST , Cleveland OH",2,-81.6312444,41.4766706
"3102  Walton AVE , Cleveland OH",2,-81.7034092,41.4712765
"3125 W 61 ST , Cleveland OH",2,-81.727386,41.4688647
"3147 W 106 ST , Cleveland OH",1,-81.759427,41.4669079
"3147 W 95 ST , Cleveland OH",1,-81.7483848,41.4679998
"3165 E 135 ST , Cleveland OH",1,-81.5883642,41.4726658
"3191 W 54 ST , Cleveland OH",1,-81.7231259,41.467059
"3195 W 54 ST , Cleveland OH",2,-81.7231824,41.466921
"327 E 156 ST , Cleveland OH",1,-81.5718426,41.5739314
"3289 W 43 ST , Cleveland OH",2,-81.7150833,41.4643949
"3346 W 61 ST , Cleveland OH",1,-81.7279315,41.4628344
"3351  Daleford RD , Shaker Hts. OH",1,-81.5608638,41.4684415
"3399 W 49 ST , Cleveland OH",2,-81.720159,41.461752
"3418  Martin Luther King BLVD , Cleveland OH",2,-81.607441,41.465725
"3433 W 60 ST , Cleveland OH",1,-81.727832,41.460812
"3565 E 76 ST , Cleveland OH",1,-81.634302,41.461577
"3566 W 49 ST , Cleveland OH",1,-81.7219136,41.4571905
"3573  Menlo RD , Shaker Hts. OH",1,-81.571698,41.462336
"3574  Riedham RD , Shaker Hts. OH",1,-81.560521,41.462314
"3591 E 146 ST , Cleveland OH",1,-81.5797571,41.4617959
"3601  Seymour AVE , Cleveland OH",1,-81.708713,41.472276
"3610  Walton AVE , Cleveland OH",1,-81.709151,41.471341
"3634  Cedar AVE , Cleveland OH",1,-81.661225,41.499168
"3636  Bailey AVE , Cleveland OH",5,-81.7090605,41.4769361
"3656 E 65 ST , Cleveland OH",1,-81.6452682,41.4587854
"3703  Stanley Tolliver AVE , Cleveland OH",1,-81.6605727,41.4981342
"3723  Central AVE , Cleveland OH",1,-81.660099,41.4968663
"3735  Central AVE , Cleveland OH",1,-81.6599095,41.4967718
"3845 E 72 ST , Cleveland OH",1,-81.637369,41.453857
"3856  Central AVE , Cleveland OH",1,-81.6583208,41.4963748
"3866 E 53 ST , Cleveland OH",1,-81.6534424,41.4528189
"3905  Eastway RD , South Euclid OH",1,-81.5393689,41.504798
"3932  Cedar AVE , Cleveland OH",1,-81.657894,41.499505
"3940  Central AVE , Cleveland OH",1,-81.6570721,41.4959024
"400 E 271 ST , Euclid OH",1,-81.4954932,41.6176351
"4003  Woodbine AVE , Cleveland OH",1,-81.7144859,41.483972
"4020 E 53 ST , Newburgh Hts. OH",1,-81.6533568,41.4490849
"4055  Suffolk RD , South Euclid OH",1,-81.5343795,41.5435945
"4067  Princeton BLVD , South Euclid OH",1,-81.5378513,41.538502
"4108  Bucyrus Ave , Cleveland OH",1,-81.7127844,41.4358304
"4121  Bayard RD , South Euclid OH",1,-81.531625,41.510076
"4191 E 74 ST , Cleveland OH",2,-81.6360789,41.4448523
"4209  Poe AVE , Cleveland OH",1,-81.7149617,41.4573429
"4214 E 119 ST , Cleveland OH",1,-81.600282,41.444769
"4215  Bailey AVE , Cleveland OH",1,-81.7156819,41.4764728
"4217  Bailey AVE , Cleveland OH",3,-81.7156605,41.4766459
"4246 E 94 ST , Cleveland OH",1,-81.619895,41.443707
"4274 E 160 ST , Cleveland OH",1,-81.569897,41.443115
"4309  Woodbridge AVE , Cleveland OH",4,-81.7154989,41.4605073
"4311  Milford AVE , Parma OH",1,-81.7143991,41.4109734
"4394 E 86 PL , Cleveland OH",1,-81.6251607,41.4398153
"4425  Torrington AVE , Parma OH",1,-81.7159421,41.4100625
"4519  Yorkshire RD , Parma OH",1,-81.716824,41.3968
"4531  Payne AVE , Cleveland OH",1,-81.655689,41.5120307
"4656 E 153 ST , Cleveland OH",2,-81.5750252,41.4328885
"4848 E 86 ST , Garfield Hts. OH",1,-81.625068,41.42742
"5302  Snow RD , Parma OH",1,-81.7220953,41.4051941
"5405  Harvard AVE , Newburgh Hts. OH",1,-81.6516888,41.4484974
"5609  Whittier Ave , Cleveland OH",1,-81.650851,41.513247
"5609  Whittier AVE , Cleveland OH",1,-81.650851,41.513247
"5615  Grand AVE , Cleveland OH",1,-81.6503524,41.4827924
"5700  Kinsman AVE , Cleveland OH",1,-81.6506188,41.4864474
